ElementTypeID	ClassName	Description	CategoryID	EffectsLayout	IsTabbable	VideoLink	FormAPIEnabled
113	ESG.WebUI.EmailBox	Email Box	5	1	1	NULL	1
114	ESG.WebUI.DataShimResourceUsageDefaults	Data Shim ResourceUsageDefaults	3	0	0	NULL	0
115	ESG.WebUI.SignatureCaptureNew	Signature Capture	4	1	0	NULL	1
116	ESG.WebUI.TemplatePrint	Template Print	2	1	0	NULL	0
117	ESG.WebUI.DataShimWorkflowDelegation	Data Shim Workflow Delegation	3	0	0	NULL	0
118	ESG.WebUI.MatchClientJobs	Match Client Jobs	2	0	0	NULL	0
119	ESG.WebUI.MatchJobClients	Match Job Clients	2	0	0	NULL	0
120	ESG.WebUI.ClientNameDataQuality	Client Name Data Quality	5	1	0	NULL	0
121	ESG.WebUI.XmlForm	Xml Form	4	1	0	NULL	0
122	ESG.WebUI.PDFExportButton	PDF Export Button	2	1	0	NULL	0
123	ESG.WebUI.HiddenPhoneTexting	Hidden Phone Texting	2	1	0	NULL	0
124	ESG.WebUI.ReportDownload	Report Download	4	1	0	NULL	0
125	ESG.WebUI.MultiSelectTree	Multi-Select Tree	4	1	0	NULL	0
126	ESG.WebUI.SharedLinkButton	Shared Link	4	1	0	NULL	0
127	ESG.WebUI.TimePhaseControl	Time Phase Control	4	1	0	NULL	0
128	ESG.WebUI.DebtPayoffCalculator	Debt Payoff Calculator	4	1	0	NULL	0
129	ESG.WebUI.AffordabilityAnalyzer	Affordability Analyzer	4	1	0	NULL	0
130	ESG.WebUI.AmortizationScheduler	Amortization Scheduler	4	1	0	NULL	0
131	ESG.WebUI.CardScanner	Card Scanner	4	0	0	NULL	0
132	ESG.WebUI.IconRuleFormElement	Icon Rule	4	1	0	NULL	0
133	ESG.WebUI.LogoElement	Logo	4	1	0	NULL	0
134	ESG.WebUI.CredcoIntegration	Credco Integration	4	0	0	NULL	0
135	ESG.WebUI.PostKeyword	Post Keywords	4	0	0	NULL	0
136	ESG.WebUI.PostService	Post Service	4	0	0	NULL	0
137	ESG.WebUI.RefreshCurrentContext	Refresh Current Context	3	0	0	NULL	0
138	ESG.WebUI.LocationGeoCode	Location GeoCode	4	0	0	NULL	0
139	ESG.WebUI.SortOrder	Sort Order	4	1	0	NULL	1
140	ESG.WebUI.MultiField	Multi Field	2	1	0	NULL	0
141	ESG.WebUI.ActivityStatus	Activity Status	4	1	0	NULL	0
142	ESG.WebUI.PaymentIntegration	Payment Integration	4	1	1	NULL	0
143	ESG.WebUI.MailChimpCampaign	MailChimp Campaign	4	0	0	NULL	0
144	ESG.WebUI.FormLookup	Form Lookup	4	1	0	NULL	0
145	ESG.WebUI.ImportIntegration	Import Integration	4	1	1	NULL	0
146	ESG.WebUI.ClientGender	Client Gender	5	1	0	NULL	1
149	ESG.WebUI.ReadWriteOrgGroup	Read/Write Org Group	2	1	0	NULL	1
150	ESG.WebUI.MultiSelectGenericTable	Multi-Select (Generic Table)	2	1	1	jpg41-lUKLM	1
151	ESG.WebUI.VoiceToText	Voice To Text	2	1	0	siiapZ5fzUU	1
152	ESG.WebUI.CCPayment	Credit Card Payment	2	1	0	NULL	0
153	ESG.WebUI.ACHPayment	ACH Payment	2	1	0	NULL	0
154	ESG.WebUI.EmbeddedReport	Embeddable Report Viewer	2	1	0	NULL	0
155	ESG.WebUI.SendEncryptedFax	Send Encrypted Fax	2	1	0	NULL	0
156	ESG.WebUI.FaxNumberSearchTextBox	Fax Number Search TextBox	2	1	0	NULL	0
157	ESG.WebUI.Attachments	Attachments	2	1	0	NULL	0
158	ESG.WebUI.DocumentChooser	Document Chooser	2	1	0	NULL	0
159	ESG.WebUI.EnrollmentSubStatus	Enrollment Sub Status	3	1	0	NULL	0
160	ESG.WebUI.GenericRecurrencePattern	Generic Recurrence Pattern	2	1	0	NULL	0
161	ESG.WebUI.DateLock	Date Lock	2	0	0	NULL	0
162	ESG.WebUI.UserCategoryAccess	User Category Access	4	0	0	NULL	0
163	ESG.WebUI.DatabasePassword	Database Password	4	1	0	NULL	0
170	ESG.WebUI.PasswordReset	Password Reset	5	1	0	NULL	0
171	ESG.WebUI.NonAssessmentRuleEditor	Non Assessment Rule Editor	5	1	0	NULL	0
173	ESG.WebUI.GoogleAddressAutoComplete	Google Address Auto Complete	1	1	1	NULL	1
174	ESG.WebUI.CRMPostData	CRM Post	4	0	0	KdRPkskiAAo	1
176	ESG.WebUI.GeoTracking	Geo Tracking	1	1	1	NULL	0
177	ESG.WebUI.ChecklistPostData	Checklist Post	2	0	0	NULL	0
178	ESG.WebUI.ChecklistValidation	Checklist Validation	2	0	0	NULL	0
179	ESG.WebUI.CSDParcelLookup	CSD Parcel Lookup	5	0	0	NULL	0
182	ESG.WebUI.DocuSignSendEnvelope	DocuSign Send Envelope	5	1	0	NULL	0
183	ESG.WebUI.Matrix	Matrix Survey	2	1	0	KBA4gUgy0zc	0
184	ESG.WebUI.SectionText	Section Text	1	1	0	NULL	1
185	ESG.WebUI.WebServiceDatabind	Web Service Databind	2	0	0	NULL	0
186	ESG.WebUI.WebServicePostData	Web Service Post Data	2	0	0	NULL	0
187	ESG.WebUI.AutoCompleteTask	Auto Complete Task	1	1	1		0
188	ESG.WebUI.PlannedEncounter	Planned Encounter	2	1	1		0
189	ESG.WebUI.GeoLocation	Location Capture	4	1	1		0
