commhub,RoomParticipant,CreatedBy,FK_RoomParticipant_CreatedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomParticipant,DeletedBy,FK_RoomParticipant_DeletedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomParticipant,LastModifiedBy,FK_RoomParticipant_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomPostedData,RoomID,FK_RoomPostedData_RoomID_Room_RoomID,commhub,Room,RoomID
commhub,RoomPostedData,AppointmentID,FK_RoomPostedData_AppointmentID_Appointment_AppointmentID,dbo,Appointment,AppointmentID
commhub,RoomPostedData,RoomCallID,FK_RoomPostedData_RoomCallID_RoomCall_RoomCallID,commhub,RoomCall,RoomCallID
commhub,RoomPostedData,DeletedBy,FK_RoomPostedData_DeletedBy_Users_EntityID,dbo,Users,EntityID
commhub,RoomPostedDataMessage,RoomPostedDataID,FK_RoomPostedDataMessage_RoomPostedDataID_RoomPostedData_RoomPostedDataID,commhub,RoomPostedData,RoomPostedDataID
commhub,RoomPostedDataParticipant,RoomPostedDataID,FK_RoomPostedDataParticipant_RoomPostedDataID_RoomPostedData_RoomPostedDataID,commhub,RoomPostedData,RoomPostedDataID
commhub,RoomTeam,RoomID,FK_RoomTeam_RoomID_Room_RoomID,commhub,Room,RoomID
commhub,RoomTeam,ApprovalGroupID,FK_RoomTeam_ApprovalGroupID_ApprovalGroup_ApprovalGroupID,dbo,ApprovalGroup,ApprovalGroupID
commhub,TokenLog,RoomCallID,FK_TokenLog_RoomCallID_RoomCall_RoomCallID,commhub,RoomCall,RoomCallID
commhub,TokenLog,CreatedBy,FK_TokenLog_CreatedBy_Users_EntityID,dbo,Users,EntityID
commhub,TokenLog,DeletedBy,FK_TokenLog_DeletedBy_Users_EntityID,dbo,Users,EntityID
commhub,TokenLog,LastModifiedBy,FK_TokenLog_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commhub,UserStatus,EntityID,FK_UserStatus_EntityID_Users_EntityID,dbo,Users,EntityID
commhub,UserStatus,DeletedBy,FK_UserStatus_DeletedBy_Users_EntityID,dbo,Users,EntityID
commlink,Link,LinkRecipientID,FK_Link_LinkRecipientID_LinkRecipient_LinkRecipientID,commlink,LinkRecipient,LinkRecipientID
commlink,Link,LinkLifespanOptionID,FK_Link_LinkLifespanOptionID_LinkLifespanOption_LinkLifespanOptionID,commlink,LinkLifespanOption,LinkLifespanOptionID
commlink,Link,CreatedBy,FK_Link_CreatedBy_Users_EntityID,dbo,Users,EntityID
commlink,Link,DeletedBy,FK_Link_DeletedBy_Users_EntityID,dbo,Users,EntityID
commlink,Link,LastModifiedBy,FK_Link_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkDeliveryMethod,DeletedBy,FK_LinkDeliveryMethod_DeletedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkLifespanOption,DeletedBy,FK_LinkLifespanOption_DeletedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkMapParameter,LinkSettingID,FK_LinkMapParameter_LinkSettingID_LinkSetting_LinkSettingID,commlink,LinkSetting,LinkSettingID
commlink,LinkMapParameter,CreatedBy,FK_LinkMapParameter_CreatedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkMapParameter,DeletedBy,FK_LinkMapParameter_DeletedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkMapParameter,LastModifiedBy,FK_LinkMapParameter_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkRecipient,LinkSettingID,FK_LinkRecipient_LinkSettingID_LinkSetting_LinkSettingID,commlink,LinkSetting,LinkSettingID
commlink,LinkRecipient,EntityID,FK_LinkRecipient_EntityID_Entity_EntityID,dbo,Entity,EntityID
commlink,LinkRecipient,CreatedBy,FK_LinkRecipient_CreatedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkRecipient,DeletedBy,FK_LinkRecipient_DeletedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkSetting,CreatedBy,FK_LinkSetting_CreatedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkSetting,DeletedBy,FK_LinkSetting_DeletedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkSetting,LastModifiedBy,FK_LinkSetting_LastModifiedBy_Users_EntityID,dbo,Users,EntityID
commlink,LinkSetting,OwnedByOrgID,FK_LinkSetting_OwnedByOrgID_Orgranization_EntityID,dbo,Organization,EntityID
commlink,ObjectOpenedLog,LinkID,FK_ObjectOpenedLog_LinkID_Link_LinkID,commlink,Link,LinkID
commlink,SentLinkLog,LinkID,FK_SentLinkLog_LinkID_Link_LinkID,commlink,Link,LinkID
commlink,SentLinkLog,LinkDeliveryMethodID,FK_SentLinkLog_LinkDeliveryMethodID_LinkDeliveryMethod_LinkDeliveryMethodID,commlink,LinkDeliveryMethod,LinkDeliveryMethodID
commlink,SentLinkLog,IndividualDeliveryMethodID,FK_SentLinkLog_IndividualDeliveryMethodID_LinkDeliveryMethod_LinkDeliveryMethodID,commlink,LinkDeliveryMethod,LinkDeliveryMethodID
commlink,SentLinkLog,SentLinkTypeID,FK_SentLinkLog_SentLinkTypeID_SentLinkType_SentLinkTypeID,commlink,SentLinkType,SentLinkTypeID
commlink,SentLinkLog,CreatedBy,FK_SentLinkLog_CreatedBy_Users_EntityID,dbo,Users,EntityID
commlink,SentLinkType,DeletedBy,FK_SentLinkType_DeletedBy_Users_EntityID,dbo,Users,EntityID
dbo,AbsenceExtension,AbsenceID,FK_AbsenceExtension_AbsenceID,dbo,ResourceAbsence,AbsenceID
dbo,AbsenceExtension,ProgramstaffID,FK_AbsenceExtension_ProgramstaffID,dbo,Users,EntityID
dbo,AbsenceExtension,SchedulerID,FK_AbsenceExtension_SchedulerID,dbo,Users,EntityID
dbo,AbsenceExtension,SupervisorID,FK_AbsenceExtension_SupervisorID,dbo,Users,EntityID
dbo,AbsenceExtension,ResourceID,FK_AbsenceExtension_Resource,dbo,Resource,ResourceID
dbo,AbsenceExtension,ProviderID,FK_AbsenceExtension_Provider,dbo,Provider,EntityID
dbo,Account,ObligationProcessID,FK_Account_ApprovalObligationProcess,dbo,ApprovalObligationProcess,ObligationProcessID
dbo,Account,DefaultProviderID,FK_Account_Provider,dbo,Provider,EntityID
dbo,Account,OnlyPayOtherID,FK_Account_ProviderReferralOther,dbo,ProviderReferralOther,ReferralOtherID
